4663146	{"duration": 1899, "distance": 23828, "price": 82}	{"duration": 4901, "distance": 25947, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 9411, "name": "地铁12号线", "stop_num": 8, "off_station": "大连路站", "on_station": "杨高北路站(1口)", "duration": 1140, "type": 2}, {"distance": 14016, "name": "地铁4号线", "stop_num": 10, "off_station": "延安西路站", "on_station": "大连路站", "duration": 1440, "type": 2}, {"duration": 827, "distance": 1031, "type": 1}]}
22914250	{"duration": 2524, "distance": 46479, "price": 164}	{"duration": 7015, "distance": 36263, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 17937, "name": "地铁12号线", "stop_num": 15, "off_station": "陕西南路站", "on_station": "杨高北路站(1口)", "duration": 2280, "type": 2}, {"duration": 204, "distance": 246, "type": 1}, {"distance": 14606, "name": "地铁1号线", "stop_num": 10, "off_station": "莘庄站", "on_station": "陕西南路站", "duration": 1440, "type": 2}, {"duration": 1597, "distance": 1986, "type": 1}]}
14734803	{"duration": 1623, "distance": 20282, "price": 69}	{"duration": 4599, "distance": 22375, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 9411, "name": "地铁12号线", "stop_num": 8, "off_station": "大连路站", "on_station": "杨高北路站(1口)", "duration": 1140, "type": 2}, {"distance": 10373, "name": "地铁4号线", "stop_num": 8, "off_station": "西藏南路站", "on_station": "大连路站", "duration": 1080, "type": 2}, {"duration": 885, "distance": 1102, "type": 1}]}
91036101	{"duration": 2523, "distance": 39372, "price": 138}	{"duration": 5798, "distance": 30941, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 8831, "name": "地铁9号线", "stop_num": 6, "off_station": "合川路站", "on_station": "嘉善路站", "duration": 960, "type": 2}, {"duration": 925, "distance": 1154, "type": 1}]}
2369023	{"duration": 2314, "distance": 35653, "price": 125}	{"duration": 6890, "distance": 33836, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 17937, "name": "地铁12号线", "stop_num": 15, "off_station": "陕西南路站", "on_station": "杨高北路站(1口)", "duration": 2280, "type": 2}, {"duration": 204, "distance": 246, "type": 1}, {"distance": 11797, "name": "地铁1号线", "stop_num": 8, "off_station": "莲花路站", "on_station": "陕西南路站", "duration": 1200, "type": 2}, {"duration": 111, "distance": 134, "type": 1}, {"distance": 1364, "name": "152路", "stop_num": 3, "off_station": "罗锦路莲花南路站", "on_station": "莲花路地铁站", "duration": 305, "type": 2}, {"duration": 696, "distance": 870, "type": 1}]}
91050993	{"duration": 1535, "distance": 18029, "price": 61}	{"duration": 4329, "distance": 17566, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 13806, "name": "地铁12号线", "stop_num": 12, "off_station": "曲阜路站", "on_station": "杨高北路站(1口)", "duration": 1740, "type": 2}, {"distance": 1146, "name": "地铁8号线", "stop_num": 1, "off_station": "人民广场站", "on_station": "曲阜路站", "duration": 180, "type": 2}, {"duration": 915, "distance": 1125, "type": 1}]}
4169377	{"duration": 3622, "distance": 67010, "price": 238}	{"duration": 10289, "distance": 70909, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 28477, "name": "地铁9号线", "stop_num": 13, "off_station": "洞泾站", "on_station": "嘉善路站", "duration": 2580, "type": 2}, {"duration": 212, "distance": 264, "type": 1}, {"distance": 20745, "name": "松朱专线", "stop_num": 17, "off_station": "祥凝浜路珠溪路(招呼站)站", "on_station": "洞泾地铁站", "duration": 2611, "type": 2}, {"duration": 373, "distance": 467, "type": 1}]}
4184029	{"duration": 4870, "distance": 97537, "price": 347}	{"duration": 11295, "distance": 89568, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 17937, "name": "地铁12号线", "stop_num": 15, "off_station": "陕西南路站", "on_station": "杨高北路站(1口)", "duration": 2280, "type": 2}, {"duration": 204, "distance": 246, "type": 1}, {"distance": 10116, "name": "地铁1号线", "stop_num": 7, "off_station": "锦江乐园站", "on_station": "陕西南路站", "duration": 1020, "type": 2}, {"duration": 161, "distance": 199, "type": 1}, {"distance": 59344, "name": "石梅线", "stop_num": 12, "off_station": "卫零路卫新路(下客站)站", "on_station": "梅陇站", "duration": 5346, "type": 2}, {"duration": 190, "distance": 238, "type": 1}]}
21593760	{"duration": 3080, "distance": 56722, "price": 200}	{"duration": 8144, "distance": 48734, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 17937, "name": "地铁12号线", "stop_num": 15, "off_station": "陕西南路站", "on_station": "杨高北路站(1口)", "duration": 2280, "type": 2}, {"duration": 204, "distance": 246, "type": 1}, {"distance": 14606, "name": "地铁1号线", "stop_num": 10, "off_station": "莘庄站", "on_station": "陕西南路站", "duration": 1440, "type": 2}, {"distance": 12488, "name": "地铁5号线", "stop_num": 7, "off_station": "金平路站", "on_station": "莘庄站", "duration": 1140, "type": 2}, {"distance": 1386, "name": "闵行16路", "stop_num": 4, "off_station": "江川路瑞丽路(电机厂)站", "on_station": "东川路金平路站", "duration": 369, "type": 2}, {"duration": 398, "distance": 498, "type": 1}]}
58344091	{"duration": 3585, "distance": 66659, "price": 236}	{"duration": 10208, "distance": 70808, "routes": [{"duration": 1194, "distance": 1488, "type": 1}, {"distance": 19445, "name": "地铁12号线", "stop_num": 16, "off_station": "嘉善路站", "on_station": "杨高北路站(1口)", "duration": 2400, "type": 2}, {"distance": 28477, "name": "地铁9号线", "stop_num": 13, "off_station": "洞泾站", "on_station": "嘉善路站", "duration": 2580, "type": 2}, {"duration": 212, "distance": 264, "type": 1}, {"distance": 20745, "name": "松朱专线", "stop_num": 17, "off_station": "祥凝浜路珠溪路(招呼站)站", "on_station": "洞泾地铁站", "duration": 2611, "type": 2}, {"duration": 292, "distance": 366, "type": 1}]}
