22652933	GOGI肉碳烤(鼎基商业店)	沪南公路509号鼎基商业1层	121.756664	31.041616	20923668	114
14910048	本明洞刀面 · 火锅(虹梅路店)	虹梅路3219弄九洲生活广场2楼202室	121.387346	31.187651	54411075	114
66964603	石上炙石板烤肉(宝山店)	华灵路841号	121.422884	31.278935	66987933	114
19011429	青鹤谷(乐颂坊精致生活广场店)	松汇中路568号乐颂坊精致生活广场2层	121.235551	31.005667	67738956	114
19091593	初心韩国炭烤(宝山万达店)	万达金街2楼255号	121.44774	31.323339	66079217	114
15859918	韩丽膳(财富108广场店)	七莘路1839号财富108广场3层	121.36178	31.13529	54313963	114
19478114	明成缘韩国年糕(塔城路店)	塔城路283号	121.256277	31.383769	59915156	114
18029329	釜山火炉(南桥店)	南奉公路8509弄2幢28号	121.487137	30.915887	57578177	114
57448458	宫咕炭(龙汇路店)	龙汇路364号新都汇美食广场	121.555753	31.200575	13162823287	114
18136400	釜山火炉(莘松店)	莘松路1078弄5号	121.355143	31.099592	13127733609	114
66188924	D.BAR(精酿啤酒韩式餐吧店)	银亭路66号1楼	121.375618	31.17114	54725166	114
22231975	珍味居老北京炙子烤肉	保德路361号	121.459486	31.31732		114
33680160	王妃家(日月光中心广场店)	徐家汇路618号日月光中心广场徐家汇区4层	121.468495	31.206507	68811717	114
4127418	本家(浦东店)	东方路971号钱江大厦2楼	121.52979	31.222709	50819677	114
5256874	丰茂烤串|羊肉现穿才好吃（虹井路店）(虹井路店)	虹井路280弄2号楼2层	121.372632	31.177251	33581777	114
13928024	喜来稀肉(虹泉路店)	虹泉路1101弄10号	121.372956	31.168967	64657729	114
68069128	缘家烤肉料理(天钥桥路店)	天钥桥路131号永新坊B1楼	121.44244	31.19215	54246070	114
69808553	烤肉村 고기굽는마을(浦三路银忆滨江店)	浦三路21弄13-14号	121.512372	31.196985	58800600	114
13854213	年糕李 韩国料理(上海店)	陕西南路186弄口	121.457601	31.2189	13127914953	114
27392873	STAR韩国炭烤肉专门店(闸北公园店)	共和新路1523号	121.458579	31.267136	18916578433	114
28592387	将军烤肉	古北路1838号	121.40323	31.186194	64050900	114
38316972	古宫炭(大华第一坊店)	真华路950号第一坊2楼	121.41158	31.27255	13764743175	114
