92659982	179	154	10	5	6	4
13788223	171	118	31	16	3	3
92520134	175	131	32	10	1	1
17146822	1954	1262	498	133	35	26
92412442	206	158	32	10	2	4
92711214	50	45	4	1	0	0
65931512	1525	1434	51	24	9	7
14191970	276	176	68	24	4	4
59162913	477	263	168	33	3	10
92961652	45	36	7	0	1	1
23090317	6277	3485	2113	488	76	115
13820289	3575	1925	1186	293	73	98
59139977	890	534	261	62	14	19
79050372	101	63	28	4	1	5
65327127	1923	1069	678	144	13	19
16798938	444	301	95	20	15	13
65999943	310	215	74	12	3	6
52348336	2316	1414	633	183	42	44
91627825	169	119	34	11	1	4
66870444	181	122	36	13	4	6
48089742	589	362	182	32	7	6
69513964	193	115	59	13	3	3
79585103	235	137	79	14	3	2
6182586	549	312	175	44	11	7
73619998	120	83	26	6	1	4
506665	666	359	154	29	9	13
67736500	543	503	24	6	3	7
24631385	1352	922	299	90	17	24
83537855	33	29	4	0	0	0
69669996	417	230	156	22	5	4
6145588	8021	4297	2738	691	120	175
91623164	460	229	172	41	11	7
4678407	3145	1499	1214	297	61	74
65791882	678	400	174	47	21	36
67103305	804	412	291	68	8	25
24940942	1426	803	447	108	29	39
75712979	278	178	72	11	6	11
93461828	71	51	17	2	0	1
11572292	756	423	232	57	17	27
51686822	202	153	27	12	3	7
90970881	33	32	1	0	0	0
22822344	385	235	106	31	8	5
91045823	47	38	7	1	1	0
22509340	299	162	93	30	6	8
6042862	291	123	116	35	13	4
76836701	2092	1555	385	92	14	46
90524003	294	176	79	23	12	4
92536074	1802	1160	461	119	23	39
8914295	3636	2151	1086	291	53	55
67798316	789	430	273	53	12	21
57302960	1376	701	489	110	29	47
11559655	1297	804	333	104	24	32
32598676	842	469	265	71	16	21
67661750	682	448	148	48	10	28
74560162	488	266	166	43	6	7
69128849	565	373	129	38	2	23
65756223	646	308	256	56	11	15
66860291	479	285	147	26	7	14
18763383	1167	639	398	91	19	20
16792317	1405	979	285	96	20	25
4296516	261	131	95	20	10	5
92367011	51	25	19	7	0	0
5565632	209	139	47	12	4	7
91847705	85	60	17	5	1	2
67796738	2181	1096	783	204	45	53
22824497	5705	4348	1002	277	40	38
67134254	957	495	314	109	12	27
17179979	3383	1584	1247	366	98	77
9462534	7561	4273	2194	689	183	222
92354039	183	90	71	15	2	5
76947393	128	57	52	17	2	0
92163161	86	55	23	3	4	1
21805121	2153	1097	757	227	47	25
5579924	1204	810	239	97	23	35
66876535	773	437	230	71	20	15
4021330	4316	2973	892	286	68	97
80839983	298	191	68	26	9	4
6107046	1981	1126	570	197	41	47
57446197	633	364	187	51	10	21
10012360	861	434	309	82	17	19
8691320	408	259	99	34	6	10
32530048	539	291	170	47	9	22
3881935	602	339	180	57	9	17
68974967	59	53	4	2	0	0
501043	896	297	244	54	10	22
45831338	7783	3803	2870	769	146	195
21351023	6456	3045	2320	760	123	208
23336336	5512	3298	1649	443	71	51
67972167	1405	751	453	120	39	42
75125409	466	215	169	52	11	19
19362263	1620	647	708	187	46	32
90560686	77	38	26	6	2	5
43759274	1512	697	588	161	26	40
4074034	680	392	212	53	13	10
63265104	2436	1366	784	205	33	48
29517682	197	133	37	13	6	8
91583949	73	54	15	3	1	0
5138320	1434	814	394	126	34	66
5715190	1446	618	578	172	28	50
67431364	576	314	195	44	5	18
65718642	236	143	50	24	11	8
6295717	245	128	80	25	8	4
67035393	173	107	31	17	9	9
5359248	714	333	271	76	14	20
46315225	254	159	71	14	3	7
5278674	248	88	115	37	3	5
6453837	633	278	246	91	13	5
8048444	9232	3629	3910	1250	242	201
6378140	7840	3531	2894	1039	213	163
8910946	9526	3956	3737	1080	242	261
14180269	12629	5359	4889	1626	375	380
41692632	3236	1631	1134	309	72	90
6829275	4503	1772	1965	615	87	64
90924627	392	163	160	48	15	6
18260088	8129	4462	2449	757	204	257
17185827	2041	910	801	212	51	67
27289801	3595	1938	1133	323	88	113
18516914	4507	2501	1287	436	124	159
91960077	449	208	162	60	14	5
3558658	9041	4400	3278	968	211	184
57015380	811	427	255	95	15	19
22065855	3826	2618	918	224	32	34
583617	3040	1194	1081	388	90	77
5527597	4340	2719	1077	343	86	115
67199568	354	170	129	40	10	5
20710393	1582	769	562	167	27	57
19402792	883	503	253	82	25	20
81000300	142	76	44	17	4	1
8012078	2136	1181	680	174	41	60
2070424	387	192	110	24	11	11
32666571	993	517	329	90	23	34
6833795	376	150	128	46	22	30
5683784	1307	619	464	156	38	30
90471001	32	28	3	0	0	1
18172441	6171	2414	2547	935	138	137
17873296	6579	2857	2482	795	205	240
501065	11449	4637	4193	1251	181	158
27015518	9988	6584	2249	820	143	192
8910932	5640	2161	2293	817	179	190
3496627	3770	1496	1518	574	105	77
8359005	7630	3824	2540	798	213	255
27287329	3901	1836	1480	426	68	91
19291498	5307	2180	2158	706	150	113
6029378	8971	4133	3447	984	217	190
5649805	3590	1746	1199	402	102	141
83135394	249	100	106	25	9	9
38225573	1321	555	529	178	24	35
2892061	5401	2477	2031	566	132	83
90315966	444	221	138	58	9	18
18601539	1262	613	456	128	35	30
69421837	693	275	306	79	13	20
8863600	1219	718	326	119	25	31
76873877	385	202	133	34	9	7
27200264	3815	2347	944	350	63	111
69488114	541	306	177	37	12	9
14714390	5854	2693	2193	684	159	125
4066693	2255	821	1035	323	42	34
3376183	2329	992	759	234	43	58
23005003	1939	1414	346	115	30	34
18029874	1264	603	461	135	33	32
58214544	743	518	155	50	8	12
20731491	2386	1270	826	202	41	47
8938775	3486	1715	1195	390	106	80
57388642	195	98	72	17	4	4
92195313	41	23	9	8	1	0
3098707	631	330	161	82	27	29
17211852	963	524	290	105	20	24
3879091	355	239	78	22	6	10
90098745	23	14	9	0	0	0
24004951	141	102	29	6	3	1
92984940	65	47	15	1	0	2
76079318	80	37	27	9	1	6
19115680	152	54	67	21	4	6
5333586	763	615	92	31	11	14
22974927	2170	1744	235	121	24	46
81759046	135	81	36	11	4	3
17936941	1104	559	355	138	25	27
76678586	1922	970	681	182	40	49
4667684	1273	656	412	135	38	32
77272827	395	176	158	48	6	7
4073998	3604	1414	1424	467	128	171
18084636	22853	13417	6357	2260	447	373
13785570	2349	981	847	316	95	110
67969168	413	189	158	33	20	13
3513457	741	363	265	81	18	14
3688177	1259	503	515	148	39	54
3181987	3304	1445	1288	421	75	73
27015545	7872	5641	1425	567	121	118
8127751	6325	3561	1742	575	180	267
1896469	5629	2432	1493	460	104	114
20721579	11514	8077	2278	815	158	186
506354	4866	2053	1634	399	69	67
18228879	12723	8636	2702	944	222	219
5454204	2770	1321	963	348	73	65
69150019	1132	500	404	156	39	33
