18503796	80980	561	11269	3489	2784
90930392	42396	1419	30712	8681	7457
92372821	15193	856	13672	5522	4566
90508551	30535	780	21499	4986	5120
77235359	54930	559	22061	4961	6031
32875447	144598	578	17863	4206	4429
66102245	58298	560	13348	3281	3171
82693278	29293	606	17100	3396	3389
24616688	151586	481	10883	2759	2420
90302436	9550	299	6523	1764	2051
69824744	11821	225	5559	1467	1180
67408269	18628	221	5246	1439	1217
92062291	18436	836	14613	5342	4477
77280988	45481	652	15684	4101	4050
76935330	28998	605	16288	3704	3618
67435380	41004	433	8587	2235	1963
90305343	9833	263	7014	1779	1662
90898064	3795	465	3451	1916	854
76942701	13962	273	6649	1778	1535
20916613	229906	345	6543	1816	1536
67208329	28498	216	4528	1281	1087
5712207	70905	234	4312	1269	1004
69341456	15577	195	5455	1211	1289
93224589	3588	118	3083	985	770
90046500	4775	48	2630	439	568
3380500	62390	54	1780	403	423
5175874	256738	850	21585	5305	5427
21960274	116995	356	9428	3887	1798
32704720	141183	469	13183	3044	3115
15928431	215742	342	11908	2675	2904
72339040	15388	336	6814	2028	2063
58938257	43356	284	9596	2295	2174
90493292	14970	259	8735	1893	1955
21363387	200642	456	11128	2016	2119
65577624	66675	246	5471	1581	1340
21050597	32922	233	5982	1626	1467
90996130	11596	321	7179	1951	1616
65739893	33542	218	5020	1330	1151
45831822	69583	292	4131	1378	966
66422729	54010	226	4600	1251	1126
93204452	4960	272	4669	1733	1458
50802375	33857	205	4677	1263	1083
65683284	19468	167	4344	1080	1272
5317622	124183	170	5090	1082	1150
67223047	38920	82	2539	781	508
24980543	31972	93	2154	563	567
24292350	45503	48	1992	432	453
19378883	43718	27	1072	245	236
72335833	2211	26	846	203	192
91957078	798	34	505	171	134
4538706	417012	885	30158	6886	6887
45924606	403779	728	20241	4693	4779
37794333	177544	616	21215	4355	5639
23759009	180526	521	15208	4083	3763
90004545	13447	397	10443	3116	3295
58638982	195273	518	13023	3122	3098
51696937	114463	444	11892	2936	2763
79558607	18508	391	8515	2106	1878
66963580	28265	245	6924	1562	1616
27307480	57935	236	5450	1455	1245
14877691	131776	230	6375	1672	1627
91612392	8554	354	5389	1569	1174
67268568	23291	161	5974	1046	1336
9292340	62263	122	3832	1027	963
23211220	158764	164	3462	866	882
32338397	52599	129	2835	741	714
17738662	32314	131	3379	874	854
70765374	6128	101	2277	670	470
57620019	97775	13	1816	138	177
79269653	49374	1192	30998	7364	14174
67850666	90308	1086	27141	6564	6294
43597201	271708	683	18758	4233	4130
74580904	30736	514	13086	3120	3012
8065256	91677	454	11577	2800	2622
67052351	51400	492	9796	2516	2342
69121871	30595	428	9637	2377	2400
68122713	18920	355	6713	1896	1470
79289357	21677	305	7816	1773	1627
67932973	18637	302	6302	1634	1510
67073157	23917	323	6635	1800	1619
67720676	26192	197	6074	1460	1491
22893305	96851	220	5925	1326	1368
67438214	27059	228	3818	1121	829
58529935	110716	158	4242	1025	950
18293295	881939	102	3912	732	708
19364425	56945	91	2833	699	711
91628972	2090	64	1217	432	309
22603610	68006	56	2074	360	406
8939882	80075	35	1351	222	315
24000937	75470	438	10367	2658	2732
