43386343	107649	720	13542	4290	3127
21245919	155018	212	6903	1592	1757
8844957	1199039	2200	67953	16738	16353
77453012	52091	1377	42539	11320	9895
5391970	472926	885	28860	7383	6860
79223400	69331	1036	34861	7941	8048
5453516	539389	550	18465	4857	4559
44280768	117463	493	16401	4093	4034
77012110	23033	596	16931	5387	5171
92437543	None	None	None	None	None
76933145	20716	454	15519	4406	3659
6127165	997897	532	14588	3749	3791
21330720	275634	335	10851	2780	2692
92237196	None	None	None	None	None
22950639	278603	297	8973	2318	2177
90453055	None	None	None	None	None
79454042	11051	272	8834	2159	2087
91011100	None	None	None	None	None
70443384	22431	525	13155	1698	2663
21061505	42188	248	8718	2081	2307
58212134	28041	162	6599	1632	1659
91914707	None	None	None	None	None
26232805	625404	4323	126694	32078	29785
73498668	134737	2976	87299	19996	19901
58346225	465665	1675	54598	13216	12279
21303576	486654	1437	47347	11360	11506
21274580	91713	828	30890	7319	7767
90930392	None	None	None	None	None
75094962	35727	711	23293	6174	5711
15857909	470005	671	27856	5757	6389
21865211	1579066	845	26188	6316	5902
66191084	146530	938	25197	6297	5907
81001855	31607	608	19833	5148	4635
69703281	36320	895	20333	4931	4901
59256828	145210	859	21050	4970	4950
5528732	766554	745	20348	5283	5041
66591621	104689	785	19835	5196	5145
24096079	245556	445	17425	4121	4440
17892587	207474	490	15285	3848	3954
72449981	29471	728	20014	4354	4716
70146149	29453	776	17818	3928	4451
57246811	111645	389	12932	3581	3164
18021863	585451	383	13926	3536	3497
6850571	803775	583	19066	4622	4786
66193274	82094	714	17324	4252	4015
22465085	483579	495	13663	3465	3221
65495054	24288	547	13488	3282	3250
69490134	28243	622	16025	3379	3734
13856991	653587	389	11962	3195	3101
23496856	230069	366	13329	3191	3646
92235631	None	None	None	None	None
69074927	41156	682	13915	3239	3305
32752267	141694	331	11491	2883	2898
4663518	401308	420	12348	3172	2930
24064370	374223	318	13879	3336	3449
24309683	167628	322	11531	2833	2870
58634210	72163	346	8022	2842	2554
92598308	None	None	None	None	None
92087281	None	None	None	None	None
57052125	149287	364	12246	2950	3069
69228764	33158	487	15647	3758	3571
91034248	None	None	None	None	None
92235469	None	None	None	None	None
37019723	103084	299	9313	2469	2410
69739191	19307	454	12083	2493	2661
92102303	None	None	None	None	None
5375578	420829	260	10394	2382	2624
