浦东新区	r5	5
徐汇区	r2	2
黄浦区	r6	6
卢湾区	r1	1
静安区	r3	3
长宁区	r4	4
闵行区	r12	12
杨浦区	r10	10
普陀区	r7	7
虹口区	r9	9
宝山区	r13	13
闸北区	r8	8
松江区	r5937	5937
嘉定区	r5938	5938
青浦区	r5939	5939
奉贤区	r8846	8846
金山区	r8847	8847
崇明区	c3580	3580
