76998819	60
9033708	912
69290600	613
77249373	99
83500387	150
5638819	1085
92480891	83
66617137	189
33575469	276
74605692	254
19643664	549
92266093	105
77278916	114
90444171	189
90501384	62
6184500	451
15908890	4203
76952651	71
72476515	190
66862539	3637
66596123	659
79449804	402
92074989	87
76854134	354
32548173	780
27248517	892
23967372	974
5165502	644
66376265	383
77259872	72
66631888	114
76658118	90
17228166	1398
63236083	193
15871581	504
21596832	464
90101493	96
91928037	137
9071330	1132
67556261	192
75144868	228
69537045	193
24077779	283
70767119	124
66866544	265
15094438	358
58014518	161
75691276	66
24769441	486
68051321	92
15095024	1727
21584102	2052
24508627	987
22369900	1128
19322600	556
10341059	277
77455621	394
18518363	3154
5733236	658
17999384	1205
79282973	123
57698657	891
90497593	72
67138913	373
57411148	639
6062484	1845
75157285	382
59116703	900
65812944	204
91945656	135
6379236	3806
66508455	168
21341829	796
72649493	221
59118553	319
5536988	453
69675620	93
22585879	518
79215975	119
74620823	272
77451677	91
90000930	81
17187282	462
76926807	173
15996754	795
19488045	1366
24806371	619
24619699	484
32324328	251
8874249	1603
70002678	65
22130921	1131
13663272	539
17694352	282
4717483	299
6334293	246
79670268	70
16967856	342
67377473	124
66411801	91
69478245	110
75124958	162
63168657	1325
67330730	1076
72468264	1379
73398005	436
79420355	225
13784786	2317
76838361	168
83535159	200
65693086	457
65615698	853
32513687	594
37942497	1323
72466727	982
76918587	136
67251491	574
22303119	2296
22911359	4125
5453740	1544
24011708	3001
67900484	657
92024251	59
58753905	261
21343952	673
67398601	292
23712534	2243
69186516	306
32703033	2354
24705400	797
76676515	73
66864968	274
92093171	120
68132998	528
33586950	1187
5396656	588
5503317	459
8685655	2078
73418613	142
75639123	395
5326628	763
15910266	408
91984901	49
17683780	318
67963481	107
3434359	380
90897221	59
83529088	69
21171533	1055
27420071	169
69806504	57
66607504	175
69265619	78
17694393	832
68046716	249
27469490	9152
24078657	3513
21584597	2712
66914883	231
67672216	2003
6119146	1871
18418588	1101
5278796	8844
19290716	5290
65801209	926
70445375	644
23086186	1633
1926859	1476
18338783	1576
74602502	843
68191998	482
22076475	919
21109684	2312
67722897	341
69448371	476
79450382	159
507368	607
22701693	1144
27238989	2443
8065402	6460
59400195	2384
4703887	3056
32308884	394
68226631	152
18021257	443
74068550	188
91884643	78
23402964	1906
27534184	406
43558256	2630
23722274	870
46457708	855
32383017	790
11560210	852
18265803	1051
18661321	844
69298876	392
57408841	336
58450231	872
17893329	1420
83435577	89
77446549	159
5816653	626
91383129	184
73433221	98
22370274	1488
67455358	293
76295645	163
3009544	1368
22295783	604
66821798	252
18264824	779
69256586	94
23448732	154
79233655	97
15948634	201
67606460	51
2319697	720
66024055	206
90112755	96
24708153	173
92615890	29
22445243	1421
80616249	211
90967143	372
77218611	236
53874382	727
67849927	587
92614673	156
58560231	632
13715753	4468
22240542	643
77348511	146
91002765	105
67639566	623
68075166	488
4599475	2698
58203180	1567
20877970	1465
69482454	906
2713810	1309
51846558	774
4228627	5338
66026559	106
6054945	1355
67976616	222
74628329	442
4179666	1586
2297992	4962
74604744	164
73553342	360
90569072	222
13932333	845
66656059	411
58288115	1052
15876404	2203
19296119	1029
91607397	55
67681229	279
65304949	357
43558243	1760
67799119	269
79421803	119
4232719	374
91620087	198
65580404	1130
66168537	389
69284334	563
20666003	1447
18187379	543
57864916	515
21922183	1291
67019209	118
57961769	224
77353076	223
8717942	590
5214354	378
48038908	591
22032244	455
69263136	74
14883651	505
91980075	38
72334445	93
90025940	638
67500465	1672
21679210	5051
69664731	791
68201768	632
66647473	2218
19477701	4232
23218537	2364
90465836	202
5205627	17668
66890179	1065
5995444	333
23016135	1214
9025811	1405
24972421	2321
65721417	651
10343688	3013
22679794	901
8981853	1816
27490186	3360
17648024	1222
90872359	149
4684767	746
73561939	750
69531918	211
32713184	517
73431311	158
79437810	163
54170171	709
65587294	808
8855259	1160
75165277	108
67566996	470
33081600	1365
52348739	346
67071161	682
21756295	851
73609085	55
7988251	3610
69722527	61
72340049	92
82878164	204
15879686	4098
69962829	233
21213567	887
58260952	199
2032195	2579
75142266	183
6365280	746
5113348	940
23518046	1911
5867605	510
23105685	502
4192057	470
81888019	239
90963581	197
22681249	1136
23216954	134
21553425	81
91936617	46
19146292	154
6033822	415
6233452	333
75142740	243
6664977	865
24112957	1355
50254779	378
57253046	669
75016220	48
90016679	31
76943996	88
20933667	313
69743121	141
59291474	145
6337516	282
67283099	110
66971693	99
76859790	29
74572238	56
16812846	1194
90338730	87
19362898	214
3045409	945
19475404	240
6199131	1628
66395269	294
21742003	3821
14911084	6883
18102801	2808
4523627	2201
67369061	2189
22344022	4433
8866928	5234
23429998	2012
26208889	3502
56510353	1917
8929854	4223
45347925	870
24319651	2163
4183869	4103
5573597	1130
76850115	331
22730400	3768
77470579	299
74103925	392
23637303	722
20651014	739
6073901	17843
19791288	7152
14895992	6203
91896951	47
24338945	2468
90974373	246
6440653	2088
67025201	542
9027604	1082
65765449	814
