92437543	151	9.3	9.1	9.4
43386343	1012	9.3	9.4	9.3
91011100	84	9.3	9.2	9.2
79454042	77	9.3	9.4	9.4
92705696	77	9.3	9.2	9.3
8844957	953	9.2	9.3	9.3
77453012	83	9.2	8.9	9.3
90930392	147	9.2	8.7	9.2
92871687	121	9.2	9.3	9.4
5528732	134	9.2	9.0	9.1
44280768	134	9.2	9.2	9.3
92235469	119	9.2	9.3	9.3
79223400	347	9.2	9.2	9.3
76933145	87	9.2	9.2	9.3
77012110	131	9.2	9.3	9.4
6127165	789	9.2	9.2	9.2
4663518	901	9.2	9.2	9.2
21330720	134	9.2	9.1	9.1
22950639	132	9.2	9.2	9.2
21061505	170	9.2	8.3	8.9
58268750	94	9.2	9.1	9.2
92886319	180	9.2	9.2	9.1
91914707	92	9.2	9.2	9.2
21245919	915	9.2	9.3	9.2
26232805	161	9.1	9.0	9.2
73498668	477	9.1	8.5	9.1
58346225	131	9.1	8.7	9.0
91596631	122	9.1	9.1	9.2
21303576	158	9.1	8.6	8.8
67440079	134	9.1	8.9	9.1
6609265	283	9.1	9.1	9.1
5391970	128	9.1	9.2	9.3
21274580	129	9.1	9.1	9.3
21865211	148	9.1	9.1	9.1
15857909	134	9.1	9.1	9.2
45333755	122	9.1	9.0	9.1
92235631	46	9.1	9.1	9.1
81001855	140	9.1	9.2	9.2
5453516	126	9.1	9.2	9.3
66191084	136	9.1	9.1	9.1
59256828	130	9.1	9.0	8.9
70146149	397	9.1	9.1	9.2
66591621	114	9.1	9.0	9.1
69703281	116	9.1	9.2	9.3
22465085	120	9.1	8.8	8.8
24096079	139	9.1	9.0	9.1
18021863	138	9.1	8.8	9.0
72449981	143	9.1	9.2	9.3
90473497	121	9.1	9.1	9.1
92489444	115	9.1	9.2	9.3
92237196	118	9.1	8.6	9.1
57052125	160	9.1	8.4	9.3
17892587	143	9.1	9.1	9.2
67306938	568	9.1	9.3	9.0
6850571	135	9.1	8.9	9.0
57246811	134	9.1	9.0	9.0
13856991	137	9.1	9.1	9.0
23496856	138	9.1	8.9	9.0
66193274	132	9.1	9.0	9.1
70443384	126	9.1	9.3	9.4
69074927	369	9.1	9.1	9.2
65495054	122	9.1	8.9	8.9
71598401	91	9.1	8.8	9.1
90109262	80	9.1	8.6	9.1
92087281	112	9.1	9.1	9.1
24064370	127	9.1	9.0	9.0
69739191	125	9.1	9.0	9.0
2186323	102	9.1	9.1	9.2
69228764	214	9.1	9.2	9.2
32752267	138	9.1	9.1	9.1
65891324	114	9.1	8.8	9.1
58634210	76	9.1	9.0	9.3
76873946	292	9.1	9.3	9.2
92102303	120	9.1	9.1	9.2
24309683	92	9.1	9.0	9.1
65948220	122	9.1	9.1	9.0
32512961	117	9.1	9.0	9.0
15950087	128	9.1	9.1	9.0
19475700	104	9.1	8.8	9.2
91034248	84	9.1	9.0	9.2
65495748	123	9.1	9.0	9.0
16967125	104	9.1	9.1	9.2
27139541	115	9.1	9.0	9.1
24674307	124	9.1	9.1	9.1
67107812	109	9.1	9.0	9.1
23337129	109	9.1	9.1	8.9
69105306	120	9.1	9.1	9.1
24267878	134	9.1	9.1	9.1
57270090	111	9.1	8.7	8.9
67544300	91	9.1	9.1	9.0
5528723	129	9.1	9.1	9.1
21812431	106	9.1	8.9	9.1
58212134	88	9.1	8.6	9.1
55823344	115	9.1	9.0	9.1
67242588	92	9.1	9.2	9.2
8028049	122	9.1	9.0	9.0
20895407	119	9.1	9.1	9.1
21725711	119	9.1	9.1	9.1
66827095	118	9.1	9.2	9.2
67262562	243	9.1	9.0	9.0
505235	91	9.1	9.0	9.3
