	shop_id	shop_name	shop_group_name	lng	lat	comment_num	good_rate	avg_price	taste_score	env_score	ser_score	weighted_hits	favor_list	verse_taxi_distance	route	public_duration	category_name	category_id
18	2369023	罗阳人家	罗阳人家	121.415026	31.130558	385	83.1	64	9.1	8.2	9.0	13863.5	玉米烙,红烧鳗鱼,香辣牛蛙,响油鳝丝,罗阳头道菜	-42263.0	杨高北路站(1口)->陕西南路站(地铁12号线)->莲花路站(地铁1号线)->莲花南路罗阳路站(闵行3路)	1小时48分	本帮江浙菜	101
19	14734803	外滩1288花园丽舍餐厅	外滩1288花园丽舍餐厅	121.510346	31.212993	213	79.3	169	9.1	8.3	8.4	17791.9	上海熏鱼,油爆河虾,黑胡椒牛肉,醉膏蟹,清炒虾仁	-19326.0	杨高北路站(1口)->大连路站(地铁12号线)->南浦大桥站(地铁4号线)	1小时10分	本帮江浙菜	101
20	58344091	缘明土菜馆	缘明土菜馆	121.061351	31.116039	723	95.2	77	9.1	9.0	9.2	11408.7	蒜香河鳗,乡下白斩鸡,酱爆螺蛳,清蒸白鱼,河鲜面疙瘩	-67394.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时19分	本帮江浙菜	101
21	16213223	古乐乡农家菜	古乐乡农家菜	121.060410	31.118529	966	96.1	65	9.1	9.1	9.2	18144.7	爆炒螺蛳,野生盐水虾,清蒸白水鱼,蚌肉豆腐,红烧鸡鸽郎	-68112.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时22分	本帮江浙菜	101
22	21593760	海宁煲(江川路店)	海宁煲	121.422335	31.009902	419	90.2	45	9.1	8.5	9.1	10360.7	鸭掌煲,香煎臭豆腐,鸭血豆腐煲,肉沫粉丝煲,蔬菜煲	-55873.0	杨高北路站(1口)->陕西南路站(地铁12号线)->莘庄站(地铁1号线)->金平路站(地铁5号线)	2小时15分	本帮江浙菜	101
23	73566921	谢记海宁煲	谢记海宁煲	121.407824	31.146272	152	92.8	45	9.1	8.2	9.1	5623.6	鸭掌煲,黑鱼煲,鱼香茄子煲,臭豆腐煲,鹌鹑蛋红烧肉煲	-32819.0	杨高北路站(1口)->顾戴路站(地铁12号线)	1小时45分	本帮江浙菜	101
24	3029089	尧尧羊肉馆	尧尧羊肉馆	121.420721	31.305657	121	86.0	29	9.1	6.0	7.6	6135.6	白切羊肉,白切羊肚,羊汤面,羊肝,羊骨汤	-22837.0	杨高北路站(1口)->大连路站(地铁12号线)->镇坪路站(地铁4号线)->场中路站(地铁7号线)	1小时27分	本帮江浙菜	101
25	17182037	人和馆(肇嘉浜路店)	人和馆	121.464620	31.207981	7984	91.5	115	9.0	9.2	9.0	163185.3	金牌红烧肉,本帮熏鱼,老上海陈皮鸡,老上海酱油饭,老上海酱爆猪肝	-22964.0	杨高北路站(1口)->嘉善路站(地铁12号线)	1小时7分	本帮江浙菜	101
26	19291562	顺风港湾(兰生大厦店)	顺风港湾	121.486054	31.231742	4129	93.0	190	9.0	9.2	8.7	148125.9	浆爆榴莲,黄鱼馄饨,本帮熏鱼,脆皮烤乳鸽,顺丰红烧肉	-17999.0	杨高北路站(1口)->曲阜路站(地铁12号线)->大世界站(地铁8号线)	1小时2分	本帮江浙菜	101
27	3527989	上海滩餐厅(新天地店)	上海滩餐厅	121.482315	31.226038	3048	87.9	350	9.0	9.1	8.8	209625.3	虾球芥末,江南红烧肉,文火焖小牛肉,布丁,十年陳花雕醉蝦	-19297.0	杨高北路站(1口)->天潼路站(地铁12号线)->新天地站(地铁10号线)	1小时8分	本帮江浙菜	101
28	18691561	农家大院(松江旗舰店)	农家大院	121.267662	31.026580	3912	91.4	84	9.0	8.7	8.7	61306.5	清蒸土鸡,金华烧饼,超级大麻球,现做豆腐皮,手工麻糍	-61708.0	杨高北路站(1口)->嘉善路站(地铁12号线)->松江新城站(地铁9号线)->松卫北路美能达路站(松江22路)	2小时33分	本帮江浙菜	101
29	66755991	顶雅阁	顶雅阁	121.444974	31.195123	314	91.4	253	9.0	9.0	8.9	25909.7	现划响油鳝丝,招牌鲍鱼凤爪红烧肉,清炒河虾仁,油爆河虾,爆鱼	-25609.0	杨高北路站(1口)->陕西南路站(地铁12号线)->徐家汇站(地铁1号线)	1小时21分	本帮江浙菜	101
