26232805	15688	11878	3061	563	86	100
67403366	1123	922	136	33	6	26
57490660	1474	886	429	91	26	42
23596944	407	221	148	32	2	4
15106979	2967	1730	988	197	27	25
92712986	73	59	6	5	0	3
13784702	6678	3884	2119	470	99	106
24996989	5927	3488	1912	393	54	80
16978893	3870	2658	902	209	44	57
72476715	489	305	133	41	5	5
75196919	574	378	152	27	10	7
66698847	2210	1640	433	108	12	17
38163600	382	232	107	23	8	12
19397302	3856	2356	1148	307	32	13
37928719	2161	1235	708	154	22	42
66756779	1973	1221	557	156	14	25
18326475	4684	3033	1276	289	34	52
10014834	5811	4583	883	233	42	70
69454903	94	73	13	4	1	3
21019682	6470	3716	2167	470	76	41
92348166	48	29	15	2	2	0
38113727	864	594	206	39	13	12
57437720	1888	1047	657	157	14	13
20667380	3642	1969	1303	278	38	54
32653808	834	644	147	28	9	6
8985698	2886	1709	885	220	25	47
22662157	355	218	101	27	7	2
92220753	24	21	3	0	0	0
73423179	520	305	167	34	4	10
24354963	2656	1348	1020	230	32	26
79467695	609	323	216	54	8	8
15909519	9432	5079	3176	871	158	148
69687133	794	540	201	33	9	11
16977731	5375	3251	1628	382	46	68
24682309	2338	1331	787	161	23	36
14693398	2465	1286	862	254	38	25
66647173	1121	878	170	50	13	10
92756870	66	48	11	4	3	0
66053191	604	385	143	52	16	8
8067103	16519	9075	5207	1580	350	307
20952202	7359	4314	2196	581	119	149
92438601	83	58	16	5	3	1
8960829	2953	1425	1134	277	51	66
68116314	710	431	181	55	16	27
5575891	8915	6454	1834	407	105	114
69504258	640	338	235	52	9	6
22649068	2548	1604	695	161	28	60
76944735	230	140	60	22	5	3
17921879	407	242	115	29	8	13
19630926	1899	1550	225	85	18	21
27034021	1601	1457	83	25	13	23
24732947	4388	2653	1247	323	88	77
66728386	2885	1962	664	176	39	44
91606687	320	138	138	25	8	11
33578217	2070	893	881	229	45	22
78988248	920	623	245	34	7	11
25127542	3311	1960	957	274	55	65
65843137	1346	916	296	84	29	21
4169945	1794	824	671	196	47	56
90270586	51	28	19	3	0	1
27015729	845	576	194	59	10	6
32573190	467	300	107	40	11	9
26966860	606	316	214	61	10	5
4110661	818	339	305	114	24	36
74069589	57	22	23	11	0	1
21377339	453	183	178	71	11	10
23420388	5074	2417	1812	601	109	135
42654447	5379	2420	2172	605	103	79
66958872	1480	870	397	133	44	36
67868150	792	390	279	95	14	14
18496522	3741	1915	1226	406	95	99
21006110	3056	1450	1100	365	72	69
13828402	2563	1085	1014	320	64	80
19363137	7295	3933	2302	732	155	173
37805657	2828	1611	870	235	41	71
13820491	3463	1496	1377	448	98	44
13881307	2374	1143	845	272	57	57
22468975	3773	1826	1427	389	66	65
8697024	2007	897	824	215	34	37
585916	1931	649	721	214	24	24
21146789	1608	728	654	177	27	22
38715716	2166	1436	504	176	30	20
67883772	256	127	81	28	8	12
21293199	3101	1575	1114	306	54	52
15129010	4482	2520	1364	396	107	95
10008863	2988	1602	1013	272	53	48
17712409	1192	593	413	135	33	18
8937396	2081	1085	691	228	43	34
17690116	4378	1943	1667	530	131	107
